mart	col	databricks_value	trino_value	diff
customer_ltv	active_days	17312.000000	17312.000000	0.000000
customer_ltv	avg_order_value	52506.500000	52506.500000	0.000000
customer_ltv	customer_code	-17306533951.000000	-17306533951.000000	0.000000
customer_ltv	customer_id	15050.000000	15050.000000	0.000000
customer_ltv	first_order_month	-283622460000.000000	-283622460000.000000	0.000000
customer_ltv	first_order_ts	266979396231600.000000	266979396231600.000000	0.000000
customer_ltv	last_order_ts	268483260231600.000000	268483260231600.000000	0.000000
customer_ltv	lifetime_orders	3750.000000	3750.000000	0.000000
customer_ltv	lifetime_revenue	1312662.500000	1312662.500000	0.000000
customer_ltv	region	-49245428450.000000	-49245428450.000000	0.000000
customer_ltv	tags	-67115795697.000000	-67115795697.000000	0.000000
daily_revenue	avg_order_value	126734.545882	126734.545882	0.000000
daily_revenue	gross_revenue	1299447.700000	1299447.700000	0.000000
daily_revenue	order_count	3710.000000	3710.000000	0.000000
daily_revenue	order_date	642499776000000.000000	642499776000000.000000	0.000000
daily_revenue	promo_group	-50893979760.000000	-50893979760.000000	0.000000
daily_revenue	region	-118189028280.000000	-118189028280.000000	0.000000
--- 17 rows
