order_date	promo_group	revenue	orders
2026-08-22T00:00:00.000Z	ORGANIC	1600.92	9
2026-08-22T00:00:00.000Z	PROMOTIONAL	3556.30	20
2026-08-23T00:00:00.000Z	ORGANIC	1729.40	10
2026-08-23T00:00:00.000Z	PROMOTIONAL	3282.09	19
2026-08-24T00:00:00.000Z	ORGANIC	1677.40	10
2026-08-24T00:00:00.000Z	PROMOTIONAL	3188.36	19
2026-08-25T00:00:00.000Z	ORGANIC	1625.40	10
2026-08-25T00:00:00.000Z	PROMOTIONAL	3254.70	20
2026-08-26T00:00:00.000Z	ORGANIC	1418.40	9
2026-08-26T00:00:00.000Z	PROMOTIONAL	3150.70	20
2026-08-27T00:00:00.000Z	ORGANIC	1526.60	10
2026-08-27T00:00:00.000Z	PROMOTIONAL	2896.77	19
2026-08-28T00:00:00.000Z	ORGANIC	1474.60	10
2026-08-28T00:00:00.000Z	PROMOTIONAL	2803.04	19
2026-08-29T00:00:00.000Z	ORGANIC	1422.60	10
2026-08-29T00:00:00.000Z	PROMOTIONAL	2849.10	20
2026-08-30T00:00:00.000Z	ORGANIC	1235.88	9
2026-08-30T00:00:00.000Z	PROMOTIONAL	2745.10	20
2026-08-31T00:00:00.000Z	ORGANIC	1323.80	10
2026-08-31T00:00:00.000Z	PROMOTIONAL	2381.67	18
2026-09-01T00:00:00.000Z	ORGANIC	1271.80	10
2026-09-01T00:00:00.000Z	PROMOTIONAL	2547.50	20
2026-09-02T00:00:00.000Z	ORGANIC	1100.16	9
2026-09-02T00:00:00.000Z	PROMOTIONAL	2443.50	20
2026-09-03T00:00:00.000Z	ORGANIC	1173.00	10
2026-09-03T00:00:00.000Z	PROMOTIONAL	2224.93	19
2026-09-04T00:00:00.000Z	ORGANIC	1121.00	10
2026-09-04T00:00:00.000Z	PROMOTIONAL	2131.20	19
2026-09-05T00:00:00.000Z	ORGANIC	1069.00	10
2026-09-05T00:00:00.000Z	PROMOTIONAL	2141.90	20
2026-09-06T00:00:00.000Z	ORGANIC	917.64	9
2026-09-06T00:00:00.000Z	PROMOTIONAL	2037.90	20
2026-09-07T00:00:00.000Z	ORGANIC	970.20	10
2026-09-07T00:00:00.000Z	PROMOTIONAL	1839.61	19
2026-09-08T00:00:00.000Z	ORGANIC	918.20	10
2026-09-08T00:00:00.000Z	PROMOTIONAL	1745.88	19
2026-09-09T00:00:00.000Z	ORGANIC	866.20	10
2026-09-09T00:00:00.000Z	PROMOTIONAL	1736.30	20
2026-09-10T00:00:00.000Z	ORGANIC	735.12	9
2026-09-10T00:00:00.000Z	PROMOTIONAL	1632.30	20
2026-09-11T00:00:00.000Z	ORGANIC	767.40	10
2026-09-11T00:00:00.000Z	PROMOTIONAL	1454.29	19
2026-09-12T00:00:00.000Z	ORGANIC	715.40	10
2026-09-12T00:00:00.000Z	PROMOTIONAL	1360.56	19
2026-09-13T00:00:00.000Z	ORGANIC	5984.84	17
2026-09-13T00:00:00.000Z	PROMOTIONAL	10754.31	34
2026-09-14T00:00:00.000Z	ORGANIC	7301.60	20
2026-09-14T00:00:00.000Z	PROMOTIONAL	14541.67	39
2026-09-15T00:00:00.000Z	ORGANIC	6536.64	19
2026-09-15T00:00:00.000Z	PROMOTIONAL	14343.94	39
2026-09-16T00:00:00.000Z	ORGANIC	7098.80	20
2026-09-16T00:00:00.000Z	PROMOTIONAL	13539.11	39
2026-09-17T00:00:00.000Z	ORGANIC	6951.08	19
2026-09-17T00:00:00.000Z	PROMOTIONAL	13341.38	39
2026-09-18T00:00:00.000Z	ORGANIC	6896.00	20
2026-09-18T00:00:00.000Z	PROMOTIONAL	13750.75	39
2026-09-19T00:00:00.000Z	ORGANIC	6151.32	19
2026-09-19T00:00:00.000Z	PROMOTIONAL	13553.02	39
2026-09-20T00:00:00.000Z	ORGANIC	6693.20	20
2026-09-20T00:00:00.000Z	PROMOTIONAL	12748.19	39
--- 60 rows
