col_name	data_type	comment
order_id	bigint	NULL
customer_id	int	NULL
order_ts	timestamp	NULL
order_status	string	NULL
order_total	decimal(12,2)	NULL
sales_channel	string	NULL
attrs	map<string,string>	NULL
order_date	date	NULL
--- 8 rows
col_name	data_type	comment
order_item_id	bigint	NULL
order_id	bigint	NULL
sku	string	NULL
quantity	smallint	NULL
unit_price	decimal(10,2)	NULL
discount_pct	decimal(5,4)	NULL
--- 6 rows
col_name	data_type	comment
customer_id	int	NULL
customer_code	char(12)	NULL
full_name	varchar(120)	NULL
email	varchar(160)	NULL
region	char(4)	NULL
signup_date	date	NULL
is_active	boolean	NULL
created_at	timestamp	NULL
--- 8 rows
col_name	data_type	comment
customer_id	int	NULL
tag	string	NULL
--- 2 rows
col_name	data_type	comment
order_date	timestamp	NULL
region	char(4)	NULL
promo_group	varchar(11)	NULL
order_count	bigint	NULL
gross_revenue	decimal(38,2)	NULL
avg_order_value	decimal(38,6)	NULL
--- 6 rows
col_name	data_type	comment
customer_id	int	NULL
customer_code	char(12)	NULL
region	char(4)	NULL
first_order_ts	timestamp	NULL
last_order_ts	timestamp	NULL
lifetime_orders	bigint	NULL
lifetime_revenue	decimal(38,2)	NULL
avg_order_value	decimal(12,2)	NULL
active_days	bigint	NULL
first_order_month	string	NULL
tags	array<string>	NULL
--- 11 rows
col_name	data_type	comment
order_id	bigint	NULL
customer_id	int	NULL
order_ts	timestamp	NULL
order_status	string	NULL
order_total	decimal(12,2)	NULL
sales_channel	string	NULL
attrs	map<string,string>	NULL
order_date	date	NULL
# Clustering Information		
# col_name	data_type	comment
order_date	date	NULL
--- 11 rows
col_name	data_type	comment
order_item_id	bigint	NULL
order_id	bigint	NULL
sku	string	NULL
quantity	smallint	NULL
unit_price	decimal(10,2)	NULL
discount_pct	decimal(5,4)	NULL
--- 6 rows
col_name	data_type	comment
customer_id	int	NULL
customer_code	char(12)	NULL
full_name	varchar(120)	NULL
email	varchar(160)	NULL
region	char(4)	NULL
signup_date	date	NULL
is_active	boolean	NULL
created_at	timestamp	NULL
--- 8 rows
col_name	data_type	comment
customer_id	int	NULL
tag	string	NULL
--- 2 rows
col_name	data_type	comment
order_date	timestamp	NULL
region	char(4)	NULL
promo_group	varchar(11)	NULL
order_count	bigint	NULL
gross_revenue	decimal(38,2)	NULL
avg_order_value	decimal(38,6)	NULL
--- 6 rows
col_name	data_type	comment
customer_id	int	NULL
customer_code	char(12)	NULL
region	char(4)	NULL
first_order_ts	timestamp	NULL
last_order_ts	timestamp	NULL
lifetime_orders	bigint	NULL
lifetime_revenue	decimal(38,2)	NULL
avg_order_value	decimal(12,2)	NULL
active_days	bigint	NULL
first_order_month	string	NULL
tags	array<string>	NULL
--- 11 rows
