order_date	promo_group	revenue	orders
2026-08-22 00:00:00.000	ORGANIC	1600.92	9
2026-08-22 00:00:00.000	PROMOTIONAL	3556.30	20
2026-08-23 00:00:00.000	ORGANIC	1729.40	10
2026-08-23 00:00:00.000	PROMOTIONAL	3282.09	19
2026-08-24 00:00:00.000	ORGANIC	1677.40	10
2026-08-24 00:00:00.000	PROMOTIONAL	3188.36	19
2026-08-25 00:00:00.000	ORGANIC	1625.40	10
2026-08-25 00:00:00.000	PROMOTIONAL	3254.70	20
2026-08-26 00:00:00.000	ORGANIC	1418.40	9
2026-08-26 00:00:00.000	PROMOTIONAL	3150.70	20
2026-08-27 00:00:00.000	ORGANIC	1526.60	10
2026-08-27 00:00:00.000	PROMOTIONAL	2896.77	19
2026-08-28 00:00:00.000	ORGANIC	1474.60	10
2026-08-28 00:00:00.000	PROMOTIONAL	2803.04	19
2026-08-29 00:00:00.000	ORGANIC	1422.60	10
2026-08-29 00:00:00.000	PROMOTIONAL	2849.10	20
2026-08-30 00:00:00.000	ORGANIC	1235.88	9
2026-08-30 00:00:00.000	PROMOTIONAL	2745.10	20
2026-08-31 00:00:00.000	ORGANIC	1323.80	10
2026-08-31 00:00:00.000	PROMOTIONAL	2381.67	18
2026-09-01 00:00:00.000	ORGANIC	1271.80	10
2026-09-01 00:00:00.000	PROMOTIONAL	2547.50	20
2026-09-02 00:00:00.000	ORGANIC	1100.16	9
2026-09-02 00:00:00.000	PROMOTIONAL	2443.50	20
2026-09-03 00:00:00.000	ORGANIC	1173.00	10
2026-09-03 00:00:00.000	PROMOTIONAL	2224.93	19
2026-09-04 00:00:00.000	ORGANIC	1121.00	10
2026-09-04 00:00:00.000	PROMOTIONAL	2131.20	19
2026-09-05 00:00:00.000	ORGANIC	1069.00	10
2026-09-05 00:00:00.000	PROMOTIONAL	2141.90	20
2026-09-06 00:00:00.000	ORGANIC	917.64	9
2026-09-06 00:00:00.000	PROMOTIONAL	2037.90	20
2026-09-07 00:00:00.000	ORGANIC	970.20	10
2026-09-07 00:00:00.000	PROMOTIONAL	1839.61	19
2026-09-08 00:00:00.000	ORGANIC	918.20	10
2026-09-08 00:00:00.000	PROMOTIONAL	1745.88	19
2026-09-09 00:00:00.000	ORGANIC	866.20	10
2026-09-09 00:00:00.000	PROMOTIONAL	1736.30	20
2026-09-10 00:00:00.000	ORGANIC	735.12	9
2026-09-10 00:00:00.000	PROMOTIONAL	1632.30	20
2026-09-11 00:00:00.000	ORGANIC	767.40	10
2026-09-11 00:00:00.000	PROMOTIONAL	1454.29	19
2026-09-12 00:00:00.000	ORGANIC	715.40	10
2026-09-12 00:00:00.000	PROMOTIONAL	1360.56	19
2026-09-13 00:00:00.000	ORGANIC	5984.84	17
2026-09-13 00:00:00.000	PROMOTIONAL	10754.31	34
2026-09-14 00:00:00.000	ORGANIC	7301.60	20
2026-09-14 00:00:00.000	PROMOTIONAL	14541.67	39
2026-09-15 00:00:00.000	ORGANIC	6536.64	19
2026-09-15 00:00:00.000	PROMOTIONAL	14343.94	39
2026-09-16 00:00:00.000	ORGANIC	7098.80	20
2026-09-16 00:00:00.000	PROMOTIONAL	13539.11	39
2026-09-17 00:00:00.000	ORGANIC	6951.08	19
2026-09-17 00:00:00.000	PROMOTIONAL	13341.38	39
2026-09-18 00:00:00.000	ORGANIC	6896.00	20
2026-09-18 00:00:00.000	PROMOTIONAL	13750.75	39
2026-09-19 00:00:00.000	ORGANIC	6151.32	19
2026-09-19 00:00:00.000	PROMOTIONAL	13553.02	39
2026-09-20 00:00:00.000	ORGANIC	6693.20	20
2026-09-20 00:00:00.000	PROMOTIONAL	12748.19	39
