order_date	promo_group	revenue	orders
2026-08-22T00:00:00.000Z	ORGANIC	1771.00	10
2026-08-22T00:00:00.000Z	PROMOTIONAL	3545.90	20
2026-08-23T00:00:00.000Z	ORGANIC	1549.44	9
2026-08-23T00:00:00.000Z	PROMOTIONAL	3441.90	20
2026-08-24T00:00:00.000Z	ORGANIC	1672.20	10
2026-08-24T00:00:00.000Z	PROMOTIONAL	3173.41	19
2026-08-25T00:00:00.000Z	ORGANIC	1620.20	10
2026-08-25T00:00:00.000Z	PROMOTIONAL	3079.68	19
2026-08-26T00:00:00.000Z	ORGANIC	1568.20	10
2026-08-26T00:00:00.000Z	PROMOTIONAL	3140.30	20
2026-08-27T00:00:00.000Z	ORGANIC	1366.92	9
2026-08-27T00:00:00.000Z	PROMOTIONAL	3036.30	20
2026-08-28T00:00:00.000Z	ORGANIC	1469.40	10
2026-08-28T00:00:00.000Z	PROMOTIONAL	2788.09	19
2026-08-29T00:00:00.000Z	ORGANIC	1417.40	10
2026-08-29T00:00:00.000Z	PROMOTIONAL	2694.36	19
2026-08-30T00:00:00.000Z	ORGANIC	1231.20	9
2026-08-30T00:00:00.000Z	PROMOTIONAL	2734.70	20
2026-08-31T00:00:00.000Z	ORGANIC	1318.60	10
2026-08-31T00:00:00.000Z	PROMOTIONAL	2501.57	19
2026-09-01T00:00:00.000Z	ORGANIC	1266.60	10
2026-09-01T00:00:00.000Z	PROMOTIONAL	2407.84	19
2026-09-02T00:00:00.000Z	ORGANIC	1214.60	10
2026-09-02T00:00:00.000Z	PROMOTIONAL	2433.10	20
2026-09-03T00:00:00.000Z	ORGANIC	1048.68	9
2026-09-03T00:00:00.000Z	PROMOTIONAL	2329.10	20
2026-09-04T00:00:00.000Z	ORGANIC	1115.80	10
2026-09-04T00:00:00.000Z	PROMOTIONAL	2116.25	19
2026-09-05T00:00:00.000Z	ORGANIC	1063.80	10
2026-09-05T00:00:00.000Z	PROMOTIONAL	2022.52	19
2026-09-06T00:00:00.000Z	ORGANIC	1011.80	10
2026-09-06T00:00:00.000Z	PROMOTIONAL	2027.50	20
2026-09-07T00:00:00.000Z	ORGANIC	866.16	9
2026-09-07T00:00:00.000Z	PROMOTIONAL	1923.50	20
2026-09-08T00:00:00.000Z	ORGANIC	913.00	10
2026-09-08T00:00:00.000Z	PROMOTIONAL	1730.93	19
2026-09-09T00:00:00.000Z	ORGANIC	861.00	10
2026-09-09T00:00:00.000Z	PROMOTIONAL	1637.20	19
2026-09-10T00:00:00.000Z	ORGANIC	809.00	10
2026-09-10T00:00:00.000Z	PROMOTIONAL	1621.90	20
2026-09-11T00:00:00.000Z	ORGANIC	683.64	9
2026-09-11T00:00:00.000Z	PROMOTIONAL	1444.41	19
2026-09-12T00:00:00.000Z	ORGANIC	710.20	10
2026-09-12T00:00:00.000Z	PROMOTIONAL	1350.68	19
2026-09-13T00:00:00.000Z	ORGANIC	6714.48	19
2026-09-13T00:00:00.000Z	PROMOTIONAL	12756.56	37
2026-09-14T00:00:00.000Z	ORGANIC	7227.72	19
2026-09-14T00:00:00.000Z	PROMOTIONAL	13909.22	39
2026-09-15T00:00:00.000Z	ORGANIC	7187.20	20
2026-09-15T00:00:00.000Z	PROMOTIONAL	14318.59	39
2026-09-16T00:00:00.000Z	ORGANIC	6427.96	19
2026-09-16T00:00:00.000Z	PROMOTIONAL	14120.86	39
2026-09-17T00:00:00.000Z	ORGANIC	6984.40	20
2026-09-17T00:00:00.000Z	PROMOTIONAL	13316.03	39
2026-09-18T00:00:00.000Z	ORGANIC	6842.40	19
2026-09-18T00:00:00.000Z	PROMOTIONAL	13118.30	39
2026-09-19T00:00:00.000Z	ORGANIC	6781.60	20
2026-09-19T00:00:00.000Z	PROMOTIONAL	13527.67	39
2026-09-20T00:00:00.000Z	ORGANIC	6042.64	19
2026-09-20T00:00:00.000Z	PROMOTIONAL	12694.85	38
