"order_item_id","order_id","sku","quantity","unit_price","discount_pct"
"1","1","SKU-00018","4","5.19","0.0003"
"2","2","SKU-00035","3","5.38","0.0006"
"3","3","SKU-00052","2","5.57","0.0009"
"4","4","SKU-00069","1","5.76","0.0012"
"5","5","SKU-00086","4","5.95","0.0015"
"6","6","SKU-00103","3","6.14","0.0018"
"7","7","SKU-00120","2","6.33","0.0021"
"8","8","SKU-00137","1","6.52","0.0024"
"9","9","SKU-00154","4","6.71","0.0002"
"10","10","SKU-00171","3","6.90","0.0005"
"11","11","SKU-00188","2","7.09","0.0008"
"12","12","SKU-00205","1","7.28","0.0011"
"13","13","SKU-00222","4","7.47","0.0014"
"14","14","SKU-00239","3","7.66","0.0017"
"15","15","SKU-00256","2","7.85","0.0020"
"16","16","SKU-00273","1","8.04","0.0023"
"17","17","SKU-00290","4","8.23","0.0001"
"18","18","SKU-00307","3","8.42","0.0004"
"19","19","SKU-00324","2","8.61","0.0007"
"20","20","SKU-00341","1","8.80","0.0010"
"21","21","SKU-00358","4","8.99","0.0013"
"22","22","SKU-00375","3","9.18","0.0016"
"23","23","SKU-00392","2","9.37","0.0019"
"24","24","SKU-00409","1","9.56","0.0022"
"25","25","SKU-00426","4","9.75","0.0000"
"26","26","SKU-00443","3","9.94","0.0003"
"27","27","SKU-00460","2","10.13","0.0006"
"28","28","SKU-00477","1","10.32","0.0009"
"29","29","SKU-00494","4","10.51","0.0012"
"30","30","SKU-00511","3","10.70","0.0015"
"31","31","SKU-00528","2","10.89","0.0018"
"32","32","SKU-00545","1","11.08","0.0021"
"33","33","SKU-00562","4","11.27","0.0024"
"34","34","SKU-00579","3","11.46","0.0002"
"35","35","SKU-00596","2","11.65","0.0005"
"36","36","SKU-00613","1","11.84","0.0008"
"37","37","SKU-00630","4","12.03","0.0011"
"38","38","SKU-00647","3","12.22","0.0014"
"39","39","SKU-00664","2","12.41","0.0017"
"40","40","SKU-00681","1","12.60","0.0020"
"41","41","SKU-00698","4","12.79","0.0023"
"42","42","SKU-00715","3","12.98","0.0001"
"43","43","SKU-00732","2","13.17","0.0004"
"44","44","SKU-00749","1","13.36","0.0007"
"45","45","SKU-00766","4","13.55","0.0010"
"46","46","SKU-00783","3","13.74","0.0013"
"47","47","SKU-00800","2","13.93","0.0016"
"48","48","SKU-00817","1","14.12","0.0019"
"49","49","SKU-00834","4","14.31","0.0022"
"50","50","SKU-00851","3","14.50","0.0000"
"51","51","SKU-00868","2","14.69","0.0003"
"52","52","SKU-00885","1","14.88","0.0006"
"53","53","SKU-00902","4","15.07","0.0009"
"54","54","SKU-00919","3","15.26","0.0012"
"55","55","SKU-00936","2","15.45","0.0015"
"56","56","SKU-00953","1","15.64","0.0018"
"57","57","SKU-00970","4","15.83","0.0021"
"58","58","SKU-00987","3","16.02","0.0024"
"59","59","SKU-00004","2","16.21","0.0002"
"60","60","SKU-00021","1","16.40","0.0005"
"61","61","SKU-00038","4","16.59","0.0008"
"62","62","SKU-00055","3","16.78","0.0011"
"63","63","SKU-00072","2","16.97","0.0014"
"64","64","SKU-00089","1","17.16","0.0017"
"65","65","SKU-00106","4","17.35","0.0020"
"66","66","SKU-00123","3","17.54","0.0023"
"67","67","SKU-00140","2","17.73","0.0001"
"68","68","SKU-00157","1","17.92","0.0004"
"69","69","SKU-00174","4","18.11","0.0007"
"70","70","SKU-00191","3","18.30","0.0010"
"71","71","SKU-00208","2","18.49","0.0013"
"72","72","SKU-00225","1","18.68","0.0016"
"73","73","SKU-00242","4","18.87","0.0019"
"74","74","SKU-00259","3","19.06","0.0022"
"75","75","SKU-00276","2","19.25","0.0000"
"76","76","SKU-00293","1","19.44","0.0003"
"77","77","SKU-00310","4","19.63","0.0006"
"78","78","SKU-00327","3","19.82","0.0009"
"79","79","SKU-00344","2","20.01","0.0012"
"80","80","SKU-00361","1","20.20","0.0015"
"81","81","SKU-00378","4","20.39","0.0018"
"82","82","SKU-00395","3","20.58","0.0021"
"83","83","SKU-00412","2","20.77","0.0024"
"84","84","SKU-00429","1","20.96","0.0002"
"85","85","SKU-00446","4","21.15","0.0005"
"86","86","SKU-00463","3","21.34","0.0008"
"87","87","SKU-00480","2","21.53","0.0011"
"88","88","SKU-00497","1","21.72","0.0014"
"89","89","SKU-00514","4","21.91","0.0017"
"90","90","SKU-00531","3","22.10","0.0020"
"91","91","SKU-00548","2","22.29","0.0023"
"92","92","SKU-00565","1","22.48","0.0001"
"93","93","SKU-00582","4","22.67","0.0004"
"94","94","SKU-00599","3","22.86","0.0007"
"95","95","SKU-00616","2","23.05","0.0010"
"96","96","SKU-00633","1","23.24","0.0013"
"97","97","SKU-00650","4","23.43","0.0016"
"98","98","SKU-00667","3","23.62","0.0019"
"99","99","SKU-00684","2","23.81","0.0022"
"100","100","SKU-00701","1","24.00","0.0000"
"101","101","SKU-00718","4","24.19","0.0003"
"102","102","SKU-00735","3","24.38","0.0006"
"103","103","SKU-00752","2","24.57","0.0009"
"104","104","SKU-00769","1","24.76","0.0012"
"105","105","SKU-00786","4","24.95","0.0015"
"106","106","SKU-00803","3","25.14","0.0018"
"107","107","SKU-00820","2","25.33","0.0021"
"108","108","SKU-00837","1","25.52","0.0024"
"109","109","SKU-00854","4","25.71","0.0002"
"110","110","SKU-00871","3","25.90","0.0005"
"111","111","SKU-00888","2","26.09","0.0008"
"112","112","SKU-00905","1","26.28","0.0011"
"113","113","SKU-00922","4","26.47","0.0014"
"114","114","SKU-00939","3","26.66","0.0017"
"115","115","SKU-00956","2","26.85","0.0020"
"116","116","SKU-00973","1","27.04","0.0023"
"117","117","SKU-00990","4","27.23","0.0001"
"118","118","SKU-00007","3","27.42","0.0004"
"119","119","SKU-00024","2","27.61","0.0007"
"120","120","SKU-00041","1","27.80","0.0010"
"121","121","SKU-00058","4","27.99","0.0013"
"122","122","SKU-00075","3","28.18","0.0016"
"123","123","SKU-00092","2","28.37","0.0019"
"124","124","SKU-00109","1","28.56","0.0022"
"125","125","SKU-00126","4","28.75","0.0000"
"126","126","SKU-00143","3","28.94","0.0003"
"127","127","SKU-00160","2","29.13","0.0006"
"128","128","SKU-00177","1","29.32","0.0009"
"129","129","SKU-00194","4","29.51","0.0012"
"130","130","SKU-00211","3","29.70","0.0015"
"131","131","SKU-00228","2","29.89","0.0018"
"132","132","SKU-00245","1","30.08","0.0021"
"133","133","SKU-00262","4","30.27","0.0024"
"134","134","SKU-00279","3","30.46","0.0002"
"135","135","SKU-00296","2","30.65","0.0005"
"136","136","SKU-00313","1","30.84","0.0008"
"137","137","SKU-00330","4","31.03","0.0011"
"138","138","SKU-00347","3","31.22","0.0014"
"139","139","SKU-00364","2","31.41","0.0017"
"140","140","SKU-00381","1","31.60","0.0020"
"141","141","SKU-00398","4","31.79","0.0023"
"142","142","SKU-00415","3","31.98","0.0001"
"143","143","SKU-00432","2","32.17","0.0004"
"144","144","SKU-00449","1","32.36","0.0007"
"145","145","SKU-00466","4","32.55","0.0010"
"146","146","SKU-00483","3","32.74","0.0013"
"147","147","SKU-00500","2","32.93","0.0016"
"148","148","SKU-00517","1","33.12","0.0019"
"149","149","SKU-00534","4","33.31","0.0022"
"150","150","SKU-00551","3","33.50","0.0000"
"151","151","SKU-00568","2","33.69","0.0003"
"152","152","SKU-00585","1","33.88","0.0006"
"153","153","SKU-00602","4","34.07","0.0009"
"154","154","SKU-00619","3","34.26","0.0012"
"155","155","SKU-00636","2","34.45","0.0015"
"156","156","SKU-00653","1","34.64","0.0018"
"157","157","SKU-00670","4","34.83","0.0021"
"158","158","SKU-00687","3","35.02","0.0024"
"159","159","SKU-00704","2","35.21","0.0002"
"160","160","SKU-00721","1","35.40","0.0005"
"161","161","SKU-00738","4","35.59","0.0008"
"162","162","SKU-00755","3","35.78","0.0011"
"163","163","SKU-00772","2","35.97","0.0014"
"164","164","SKU-00789","1","36.16","0.0017"
"165","165","SKU-00806","4","36.35","0.0020"
"166","166","SKU-00823","3","36.54","0.0023"
"167","167","SKU-00840","2","36.73","0.0001"
"168","168","SKU-00857","1","36.92","0.0004"
"169","169","SKU-00874","4","37.11","0.0007"
"170","170","SKU-00891","3","37.30","0.0010"
"171","171","SKU-00908","2","37.49","0.0013"
"172","172","SKU-00925","1","37.68","0.0016"
"173","173","SKU-00942","4","37.87","0.0019"
"174","174","SKU-00959","3","38.06","0.0022"
"175","175","SKU-00976","2","38.25","0.0000"
"176","176","SKU-00993","1","38.44","0.0003"
"177","177","SKU-00010","4","38.63","0.0006"
"178","178","SKU-00027","3","38.82","0.0009"
"179","179","SKU-00044","2","39.01","0.0012"
"180","180","SKU-00061","1","39.20","0.0015"
"181","181","SKU-00078","4","39.39","0.0018"
"182","182","SKU-00095","3","39.58","0.0021"
"183","183","SKU-00112","2","39.77","0.0024"
"184","184","SKU-00129","1","39.96","0.0002"
"185","185","SKU-00146","4","40.15","0.0005"
"186","186","SKU-00163","3","40.34","0.0008"
"187","187","SKU-00180","2","40.53","0.0011"
"188","188","SKU-00197","1","40.72","0.0014"
"189","189","SKU-00214","4","40.91","0.0017"
"190","190","SKU-00231","3","41.10","0.0020"
"191","191","SKU-00248","2","41.29","0.0023"
"192","192","SKU-00265","1","41.48","0.0001"
"193","193","SKU-00282","4","41.67","0.0004"
"194","194","SKU-00299","3","41.86","0.0007"
"195","195","SKU-00316","2","42.05","0.0010"
"196","196","SKU-00333","1","42.24","0.0013"
"197","197","SKU-00350","4","42.43","0.0016"
"198","198","SKU-00367","3","42.62","0.0019"
"199","199","SKU-00384","2","42.81","0.0022"
"200","200","SKU-00401","1","43.00","0.0000"
