"order_id","customer_id","order_ts","order_status","order_total","sales_channel","attrs","order_date"
"1","1","2026-09-21 14:55:41.437","SHIPPED","25.13","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-21"
"2","2","2026-09-21 14:18:41.437","DELIVERED","25.26","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-21"
"3","3","2026-09-21 13:41:41.437","CANCELLED","25.39","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-21"
"4","4","2026-09-21 13:04:41.437","PLACED","25.52","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-21"
"5","5","2026-09-21 12:27:41.437","SHIPPED","25.65","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-21"
"6","6","2026-09-21 11:50:41.437","DELIVERED","25.78","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-21"
"7","7","2026-09-21 11:13:41.437","CANCELLED","25.91","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-21"
"8","8","2026-09-21 10:36:41.437","PLACED","26.04","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-21"
"9","9","2026-09-21 09:59:41.437","SHIPPED","26.17","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-21"
"10","10","2026-09-21 09:22:41.437","DELIVERED","26.30","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-21"
"11","11","2026-09-21 08:45:41.437","CANCELLED","26.43","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-21"
"12","12","2026-09-21 08:08:41.437","PLACED","26.56","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-21"
"13","13","2026-09-21 07:31:41.437","SHIPPED","26.69","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-21"
"14","14","2026-09-21 06:54:41.437","DELIVERED","26.82","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-21"
"15","15","2026-09-21 06:17:41.437","CANCELLED","26.95","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-21"
"16","16","2026-09-21 05:40:41.437","PLACED","27.08","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-21"
"17","17","2026-09-21 05:03:41.437","SHIPPED","27.21","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-21"
"18","18","2026-09-21 04:26:41.437","DELIVERED","27.34","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-21"
"19","19","2026-09-21 03:49:41.437","CANCELLED","27.47","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-21"
"20","20","2026-09-21 03:12:41.437","PLACED","27.60","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-21"
"21","21","2026-09-21 02:35:41.437","SHIPPED","27.73","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-21"
"22","22","2026-09-21 01:58:41.437","DELIVERED","27.86","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-21"
"23","23","2026-09-21 01:21:41.437","CANCELLED","27.99","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-21"
"24","24","2026-09-21 00:44:41.437","PLACED","28.12","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-21"
"25","25","2026-09-21 00:07:41.437","SHIPPED","28.25","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-21"
"26","26","2026-09-20 23:30:41.437","DELIVERED","28.38","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-20"
"27","27","2026-09-20 22:53:41.437","CANCELLED","28.51","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-20"
"28","28","2026-09-20 22:16:41.437","PLACED","28.64","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-20"
"29","29","2026-09-20 21:39:41.437","SHIPPED","28.77","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-20"
"30","30","2026-09-20 21:02:41.437","DELIVERED","28.90","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-20"
"31","31","2026-09-20 20:25:41.437","CANCELLED","29.03","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-20"
"32","32","2026-09-20 19:48:41.437","PLACED","29.16","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-20"
"33","33","2026-09-20 19:11:41.437","SHIPPED","29.29","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-20"
"34","34","2026-09-20 18:34:41.437","DELIVERED","29.42","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-20"
"35","35","2026-09-20 17:57:41.437","CANCELLED","29.55","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-20"
"36","36","2026-09-20 17:20:41.437","PLACED","29.68","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-20"
"37","37","2026-09-20 16:43:41.437","SHIPPED","29.81","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-20"
"38","38","2026-09-20 16:06:41.437","DELIVERED","29.94","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-20"
"39","39","2026-09-20 15:29:41.437","CANCELLED","30.07","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-20"
"40","40","2026-09-20 14:52:41.437","PLACED","30.20","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-20"
"41","41","2026-09-20 14:15:41.437","SHIPPED","30.33","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-20"
"42","42","2026-09-20 13:38:41.437","DELIVERED","30.46","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-20"
