"customer_id","customer_code","region","first_order_ts","last_order_ts","lifetime_orders","lifetime_revenue","avg_order_value","active_days","first_order_month","tags"
"1","CUST00000001","WEST","2026-05-26 10:15:41.437","2026-09-21 14:55:41.437","25","8428.25","337.13","118","2026-05","[""loyalty"",""seasonal""]"
"2","CUST00000002","EAST","2026-05-26 09:38:41.437","2026-09-21 14:18:41.437","25","8431.50","337.26","118","2026-05","[""email"",""mobile"",""staff""]"
"4","CUST00000004","SOUT","2026-05-26 08:24:41.437","2026-09-21 13:04:41.437","25","8438.00","337.52","118","2026-05","[""priority"",""vip""]"
"5","CUST00000005","WEST","2026-05-26 07:47:41.437","2026-09-21 12:27:41.437","25","8441.25","337.65","118","2026-05","[""loyalty"",""referral"",""seasonal""]"
"6","CUST00000006","EAST","2026-05-26 07:10:41.437","2026-09-21 11:50:41.437","25","8444.50","337.78","118","2026-05","[""mobile""]"
"8","CUST00000008","SOUT","2026-05-26 05:56:41.437","2026-09-21 10:36:41.437","25","8451.00","338.04","118","2026-05","[""partner"",""priority"",""vip""]"
"9","CUST00000009","WEST","2026-05-26 05:19:41.437","2026-09-21 09:59:41.437","25","8454.25","338.17","118","2026-05","[""loyalty""]"
"10","CUST00000010","EAST","2026-05-26 04:42:41.437","2026-09-21 09:22:41.437","25","8457.50","338.30","118","2026-05","[""mobile"",""staff""]"
"12","CUST00000012","SOUT","2026-05-26 03:28:41.437","2026-09-21 08:08:41.437","25","8464.00","338.56","118","2026-05","[""priority""]"
"13","CUST00000013","WEST","2026-05-26 02:51:41.437","2026-09-21 07:31:41.437","25","8467.25","338.69","118","2026-05","[""loyalty"",""seasonal""]"
"14","CUST00000014","EAST","2026-05-26 02:14:41.437","2026-09-21 06:54:41.437","25","8470.50","338.82","118","2026-05","[""email"",""mobile"",""staff""]"
"16","CUST00000016","SOUT","2026-05-26 01:00:41.437","2026-09-21 05:40:41.437","25","8477.00","339.08","118","2026-05","[""priority"",""vip""]"
"17","CUST00000017","WEST","2026-05-26 00:23:41.437","2026-09-21 05:03:41.437","25","8480.25","339.21","118","2026-05","[""loyalty"",""referral"",""seasonal""]"
"18","CUST00000018","EAST","2026-05-25 23:46:41.437","2026-09-21 04:26:41.437","25","8483.50","339.34","118","2026-05","[""mobile""]"
"20","CUST00000020","SOUT","2026-05-25 22:32:41.437","2026-09-21 03:12:41.437","25","8490.00","339.60","118","2026-05","[""partner"",""priority"",""vip""]"
"21","CUST00000021","WEST","2026-05-25 21:55:41.437","2026-09-21 02:35:41.437","25","8493.25","339.73","118","2026-05","[""loyalty""]"
"22","CUST00000022","EAST","2026-05-25 21:18:41.437","2026-09-21 01:58:41.437","25","8496.50","339.86","118","2026-05","[""mobile"",""staff""]"
"24","CUST00000024","SOUT","2026-05-25 20:04:41.437","2026-09-21 00:44:41.437","25","8503.00","340.12","118","2026-05","[""priority""]"
"25","CUST00000025","WEST","2026-05-25 19:27:41.437","2026-09-21 00:07:41.437","25","8506.25","340.25","118","2026-05","[""loyalty"",""seasonal""]"
"26","CUST00000026","EAST","2026-05-25 18:50:41.437","2026-09-20 23:30:41.437","25","8509.50","340.38","118","2026-05","[""email"",""mobile"",""staff""]"
"28","CUST00000028","SOUT","2026-05-25 17:36:41.437","2026-09-20 22:16:41.437","25","8516.00","340.64","118","2026-05","[""priority"",""vip""]"
"29","CUST00000029","WEST","2026-05-25 16:59:41.437","2026-09-20 21:39:41.437","25","8519.25","340.77","118","2026-05","[""loyalty"",""referral"",""seasonal""]"
"30","CUST00000030","EAST","2026-05-25 16:22:41.437","2026-09-20 21:02:41.437","25","8522.50","340.90","118","2026-05","[""mobile""]"
"32","CUST00000032","SOUT","2026-05-25 15:08:41.437","2026-09-20 19:48:41.437","25","8529.00","341.16","118","2026-05","[""partner"",""priority"",""vip""]"
"33","CUST00000033","WEST","2026-05-25 14:31:41.437","2026-09-20 19:11:41.437","25","8532.25","341.29","118","2026-05","[""loyalty""]"
"34","CUST00000034","EAST","2026-05-25 13:54:41.437","2026-09-20 18:34:41.437","25","8535.50","341.42","118","2026-05","[""mobile"",""staff""]"
"36","CUST00000036","SOUT","2026-05-25 12:40:41.437","2026-09-20 17:20:41.437","25","8542.00","341.68","118","2026-05","[""priority""]"
"37","CUST00000037","WEST","2026-05-25 12:03:41.437","2026-09-20 16:43:41.437","25","8545.25","341.81","118","2026-05","[""loyalty"",""seasonal""]"
"38","CUST00000038","EAST","2026-05-25 11:26:41.437","2026-09-20 16:06:41.437","25","8548.50","341.94","118","2026-05","[""email"",""mobile"",""staff""]"
"40","CUST00000040","SOUT","2026-05-25 10:12:41.437","2026-09-20 14:52:41.437","25","8555.00","342.20","118","2026-05","[""priority"",""vip""]"
"41","CUST00000041","WEST","2026-05-25 09:35:41.437","2026-09-20 14:15:41.437","25","8558.25","342.33","118","2026-05","[""loyalty"",""referral"",""seasonal""]"
"42","CUST00000042","EAST","2026-05-25 08:58:41.437","2026-09-20 13:38:41.437","25","8561.50","342.46","118","2026-05","[""mobile""]"
"44","CUST00000044","SOUT","2026-05-25 07:44:41.437","2026-09-20 12:24:41.437","25","8568.00","342.72","118","2026-05","[""partner"",""priority"",""vip""]"
"45","CUST00000045","WEST","2026-05-25 07:07:41.437","2026-09-20 11:47:41.437","25","8571.25","342.85","118","2026-05","[""loyalty""]"
"46","CUST00000046","EAST","2026-05-25 06:30:41.437","2026-09-20 11:10:41.437","25","8574.50","342.98","118","2026-05","[""mobile"",""staff""]"
"48","CUST00000048","SOUT","2026-05-25 05:16:41.437","2026-09-20 09:56:41.437","25","8581.00","343.24","118","2026-05","[""priority""]"
"49","CUST00000049","WEST","2026-05-25 04:39:41.437","2026-09-20 09:19:41.437","25","8584.25","343.37","118","2026-05","[""loyalty"",""seasonal""]"
"50","CUST00000050","EAST","2026-05-25 04:02:41.437","2026-09-20 08:42:41.437","25","8587.50","343.50","118","2026-05","[""email"",""mobile"",""staff""]"
"52","CUST00000052","SOUT","2026-05-25 02:48:41.437","2026-09-20 07:28:41.437","25","8594.00","343.76","118","2026-05","[""priority"",""vip""]"
"53","CUST00000053","WEST","2026-05-25 02:11:41.437","2026-09-20 06:51:41.437","25","8597.25","343.89","118","2026-05","[""loyalty"",""referral"",""seasonal""]"
"54","CUST00000054","EAST","2026-05-25 01:34:41.437","2026-09-20 06:14:41.437","25","8600.50","344.02","118","2026-05","[""mobile""]"
"56","CUST00000056","SOUT","2026-05-25 00:20:41.437","2026-09-20 05:00:41.437","25","8607.00","344.28","118","2026-05","[""partner"",""priority"",""vip""]"
"57","CUST00000057","WEST","2026-05-24 23:43:41.437","2026-09-20 04:23:41.437","25","8610.25","344.41","118","2026-05","[""loyalty""]"
"58","CUST00000058","EAST","2026-05-24 23:06:41.437","2026-09-20 03:46:41.437","25","8613.50","344.54","118","2026-05","[""mobile"",""staff""]"
"60","CUST00000060","SOUT","2026-05-24 21:52:41.437","2026-09-20 02:32:41.437","25","8620.00","344.80","118","2026-05","[""priority""]"
"61","CUST00000061","WEST","2026-05-24 21:15:41.437","2026-09-20 01:55:41.437","25","8623.25","344.93","118","2026-05","[""loyalty"",""seasonal""]"
"62","CUST00000062","EAST","2026-05-24 20:38:41.437","2026-09-20 01:18:41.437","25","8626.50","345.06","118","2026-05","[""email"",""mobile"",""staff""]"
"64","CUST00000064","SOUT","2026-05-24 19:24:41.437","2026-09-20 00:04:41.437","25","8633.00","345.32","118","2026-05","[""priority"",""vip""]"
"65","CUST00000065","WEST","2026-05-24 18:47:41.437","2026-09-19 23:27:41.437","25","8636.25","345.45","118","2026-05","[""loyalty"",""referral"",""seasonal""]"
"66","CUST00000066","EAST","2026-05-24 18:10:41.437","2026-09-19 22:50:41.437","25","8639.50","345.58","118","2026-05","[""mobile""]"
"68","CUST00000068","SOUT","2026-05-24 16:56:41.437","2026-09-19 21:36:41.437","25","8646.00","345.84","118","2026-05","[""partner"",""priority"",""vip""]"
"69","CUST00000069","WEST","2026-05-24 16:19:41.437","2026-09-19 20:59:41.437","25","8649.25","345.97","118","2026-05","[""loyalty""]"
"70","CUST00000070","EAST","2026-05-24 15:42:41.437","2026-09-19 20:22:41.437","25","8652.50","346.10","118","2026-05","[""mobile"",""staff""]"
"72","CUST00000072","SOUT","2026-05-29 17:48:41.437","2026-09-21 14:28:41.437","25","8659.00","346.36","114","2026-05","[""priority""]"
"73","CUST00000073","WEST","2026-05-29 17:11:41.437","2026-09-21 13:51:41.437","25","8662.25","346.49","114","2026-05","[""loyalty"",""seasonal""]"
"74","CUST00000074","EAST","2026-05-29 16:34:41.437","2026-09-21 13:14:41.437","25","8665.50","346.62","114","2026-05","[""email"",""mobile"",""staff""]"
"76","CUST00000076","SOUT","2026-05-29 15:20:41.437","2026-09-21 12:00:41.437","25","8672.00","346.88","114","2026-05","[""priority"",""vip""]"
"77","CUST00000077","WEST","2026-05-29 14:43:41.437","2026-09-21 11:23:41.437","25","8675.25","347.01","114","2026-05","[""loyalty"",""referral"",""seasonal""]"
"78","CUST00000078","EAST","2026-05-29 14:06:41.437","2026-09-21 10:46:41.437","25","8678.50","347.14","114","2026-05","[""mobile""]"
"80","CUST00000080","SOUT","2026-05-29 12:52:41.437","2026-09-21 09:32:41.437","25","8685.00","347.40","114","2026-05","[""partner"",""priority"",""vip""]"
"81","CUST00000081","WEST","2026-05-29 12:15:41.437","2026-09-21 08:55:41.437","25","8688.25","347.53","114","2026-05","[""loyalty""]"
"82","CUST00000082","EAST","2026-05-29 11:38:41.437","2026-09-21 08:18:41.437","25","8691.50","347.66","114","2026-05","[""mobile"",""staff""]"
"84","CUST00000084","SOUT","2026-05-29 10:24:41.437","2026-09-21 07:04:41.437","25","8698.00","347.92","114","2026-05","[""priority""]"
"85","CUST00000085","WEST","2026-05-29 09:47:41.437","2026-09-21 06:27:41.437","25","8701.25","348.05","114","2026-05","[""loyalty"",""seasonal""]"
"86","CUST00000086","EAST","2026-05-29 09:10:41.437","2026-09-21 05:50:41.437","25","8704.50","348.18","114","2026-05","[""email"",""mobile"",""staff""]"
"88","CUST00000088","SOUT","2026-05-29 07:56:41.437","2026-09-21 04:36:41.437","25","8711.00","348.44","114","2026-05","[""priority"",""vip""]"
"89","CUST00000089","WEST","2026-05-29 07:19:41.437","2026-09-21 03:59:41.437","25","8714.25","348.57","114","2026-05","[""loyalty"",""referral"",""seasonal""]"
"90","CUST00000090","EAST","2026-05-29 06:42:41.437","2026-09-21 03:22:41.437","25","8717.50","348.70","114","2026-05","[""mobile""]"
"92","CUST00000092","SOUT","2026-05-29 05:28:41.437","2026-09-21 02:08:41.437","25","8724.00","348.96","114","2026-05","[""partner"",""priority"",""vip""]"
"93","CUST00000093","WEST","2026-05-29 04:51:41.437","2026-09-21 01:31:41.437","25","8727.25","349.09","114","2026-05","[""loyalty""]"
"94","CUST00000094","EAST","2026-05-29 04:14:41.437","2026-09-21 00:54:41.437","25","8730.50","349.22","114","2026-05","[""mobile"",""staff""]"
"96","CUST00000096","SOUT","2026-05-29 03:00:41.437","2026-09-20 23:40:41.437","25","8737.00","349.48","114","2026-05","[""priority""]"
"97","CUST00000097","WEST","2026-05-29 02:23:41.437","2026-09-20 23:03:41.437","25","8740.25","349.61","114","2026-05","[""loyalty"",""seasonal""]"
"98","CUST00000098","EAST","2026-05-29 01:46:41.437","2026-09-20 22:26:41.437","25","8743.50","349.74","114","2026-05","[""email"",""mobile"",""staff""]"
"100","CUST00000100","SOUT","2026-05-29 00:32:41.437","2026-09-20 21:12:41.437","25","8750.00","350.00","114","2026-05","[""priority"",""vip""]"
"101","CUST00000101","WEST","2026-05-28 23:55:41.437","2026-09-20 20:35:41.437","25","8753.25","350.13","114","2026-05","[""loyalty"",""referral"",""seasonal""]"
"102","CUST00000102","EAST","2026-05-28 23:18:41.437","2026-09-20 19:58:41.437","25","8756.50","350.26","114","2026-05","[""mobile""]"
"104","CUST00000104","SOUT","2026-05-28 22:04:41.437","2026-09-20 18:44:41.437","25","8763.00","350.52","114","2026-05","[""partner"",""priority"",""vip""]"
"105","CUST00000105","WEST","2026-05-28 21:27:41.437","2026-09-20 18:07:41.437","25","8766.25","350.65","114","2026-05","[""loyalty""]"
"106","CUST00000106","EAST","2026-05-28 20:50:41.437","2026-09-20 17:30:41.437","25","8769.50","350.78","114","2026-05","[""mobile"",""staff""]"
"108","CUST00000108","SOUT","2026-05-28 19:36:41.437","2026-09-20 16:16:41.437","25","8776.00","351.04","114","2026-05","[""priority""]"
"109","CUST00000109","WEST","2026-05-28 18:59:41.437","2026-09-20 15:39:41.437","25","8779.25","351.17","114","2026-05","[""loyalty"",""seasonal""]"
"110","CUST00000110","EAST","2026-05-28 18:22:41.437","2026-09-20 15:02:41.437","25","8782.50","351.30","114","2026-05","[""email"",""mobile"",""staff""]"
"112","CUST00000112","SOUT","2026-05-28 17:08:41.437","2026-09-20 13:48:41.437","25","8789.00","351.56","114","2026-05","[""priority"",""vip""]"
"113","CUST00000113","WEST","2026-05-28 16:31:41.437","2026-09-20 13:11:41.437","25","8792.25","351.69","114","2026-05","[""loyalty"",""referral"",""seasonal""]"
"114","CUST00000114","EAST","2026-05-28 15:54:41.437","2026-09-20 12:34:41.437","25","8795.50","351.82","114","2026-05","[""mobile""]"
"116","CUST00000116","SOUT","2026-05-28 14:40:41.437","2026-09-20 11:20:41.437","25","8802.00","352.08","114","2026-05","[""partner"",""priority"",""vip""]"
"117","CUST00000117","WEST","2026-05-28 14:03:41.437","2026-09-20 10:43:41.437","25","8805.25","352.21","114","2026-05","[""loyalty""]"
"118","CUST00000118","EAST","2026-05-28 13:26:41.437","2026-09-20 10:06:41.437","25","8808.50","352.34","114","2026-05","[""mobile"",""staff""]"
"120","CUST00000120","SOUT","2026-05-28 12:12:41.437","2026-09-20 08:52:41.437","25","8815.00","352.60","114","2026-05","[""priority""]"
"121","CUST00000121","WEST","2026-05-28 11:35:41.437","2026-09-20 08:15:41.437","25","8818.25","352.73","114","2026-05","[""loyalty"",""seasonal""]"
"122","CUST00000122","EAST","2026-05-28 10:58:41.437","2026-09-20 07:38:41.437","25","8821.50","352.86","114","2026-05","[""email"",""mobile"",""staff""]"
"124","CUST00000124","SOUT","2026-05-28 09:44:41.437","2026-09-20 06:24:41.437","25","8828.00","353.12","114","2026-05","[""priority"",""vip""]"
"125","CUST00000125","WEST","2026-05-28 09:07:41.437","2026-09-20 05:47:41.437","25","8831.25","353.25","114","2026-05","[""loyalty"",""referral"",""seasonal""]"
"126","CUST00000126","EAST","2026-05-28 08:30:41.437","2026-09-20 05:10:41.437","25","8834.50","353.38","114","2026-05","[""mobile""]"
"128","CUST00000128","SOUT","2026-05-28 07:16:41.437","2026-09-20 03:56:41.437","25","8841.00","353.64","114","2026-05","[""partner"",""priority"",""vip""]"
"129","CUST00000129","WEST","2026-05-28 06:39:41.437","2026-09-20 03:19:41.437","25","8844.25","353.77","114","2026-05","[""loyalty""]"
"130","CUST00000130","EAST","2026-05-28 06:02:41.437","2026-09-20 02:42:41.437","25","8847.50","353.90","114","2026-05","[""mobile"",""staff""]"
"132","CUST00000132","SOUT","2026-05-28 04:48:41.437","2026-09-20 01:28:41.437","25","8854.00","354.16","114","2026-05","[""priority""]"
"133","CUST00000133","WEST","2026-05-28 04:11:41.437","2026-09-20 00:51:41.437","25","8857.25","354.29","114","2026-05","[""loyalty"",""seasonal""]"
"134","CUST00000134","EAST","2026-05-28 03:34:41.437","2026-09-20 00:14:41.437","25","8860.50","354.42","114","2026-05","[""email"",""mobile"",""staff""]"
"136","CUST00000136","SOUT","2026-05-28 02:20:41.437","2026-09-19 23:00:41.437","25","8867.00","354.68","114","2026-05","[""priority"",""vip""]"
"137","CUST00000137","WEST","2026-05-28 01:43:41.437","2026-09-19 22:23:41.437","25","8870.25","354.81","114","2026-05","[""loyalty"",""referral"",""seasonal""]"
"138","CUST00000138","EAST","2026-05-28 01:06:41.437","2026-09-19 21:46:41.437","25","8873.50","354.94","114","2026-05","[""mobile""]"
"140","CUST00000140","SOUT","2026-05-27 23:52:41.437","2026-09-19 20:32:41.437","25","8880.00","355.20","114","2026-05","[""partner"",""priority"",""vip""]"
"141","CUST00000141","WEST","2026-05-27 23:15:41.437","2026-09-19 19:55:41.437","25","8883.25","355.33","114","2026-05","[""loyalty""]"
"142","CUST00000142","EAST","2026-05-27 22:38:41.437","2026-09-19 19:18:41.437","25","8886.50","355.46","114","2026-05","[""mobile"",""staff""]"
"144","CUST00000144","SOUT","2026-05-27 21:24:41.437","2026-09-19 18:04:41.437","25","8893.00","355.72","114","2026-05","[""priority""]"
"145","CUST00000145","WEST","2026-05-27 20:47:41.437","2026-09-19 17:27:41.437","25","8896.25","355.85","114","2026-05","[""loyalty"",""seasonal""]"
"146","CUST00000146","EAST","2026-05-27 20:10:41.437","2026-09-19 16:50:41.437","25","8899.50","355.98","114","2026-05","[""email"",""mobile"",""staff""]"
"148","CUST00000148","SOUT","2026-05-27 18:56:41.437","2026-09-19 15:36:41.437","25","8906.00","356.24","114","2026-05","[""priority"",""vip""]"
