"customer_id","tag"
"1","loyalty"
"1","seasonal"
"2","email"
"2","mobile"
"2","staff"
"3","newsletter"
"4","priority"
"4","vip"
"5","loyalty"
"5","referral"
"5","seasonal"
"6","mobile"
"7","newsletter"
"7","wholesale"
"8","partner"
"8","priority"
"8","vip"
"9","loyalty"
"10","mobile"
"10","staff"
"11","newsletter"
"11","sms"
"11","wholesale"
"12","priority"
"13","loyalty"
"13","seasonal"
"14","email"
"14","mobile"
"14","staff"
"15","newsletter"
"16","priority"
"16","vip"
"17","loyalty"
"17","referral"
"17","seasonal"
"18","mobile"
"19","newsletter"
"19","wholesale"
"20","partner"
"20","priority"
"20","vip"
"21","loyalty"
"22","mobile"
"22","staff"
"23","newsletter"
"23","sms"
"23","wholesale"
"24","priority"
"25","loyalty"
"25","seasonal"
"26","email"
"26","mobile"
"26","staff"
"27","newsletter"
"28","priority"
"28","vip"
"29","loyalty"
"29","referral"
"29","seasonal"
"30","mobile"
"31","newsletter"
"31","wholesale"
"32","partner"
"32","priority"
"32","vip"
"33","loyalty"
"34","mobile"
"34","staff"
"35","newsletter"
"35","sms"
"35","wholesale"
"36","priority"
"37","loyalty"
"37","seasonal"
"38","email"
"38","mobile"
"38","staff"
"39","newsletter"
"40","priority"
"40","vip"
"41","loyalty"
"41","referral"
"41","seasonal"
"42","mobile"
"43","newsletter"
"43","wholesale"
"44","partner"
"44","priority"
"44","vip"
"45","loyalty"
"46","mobile"
"46","staff"
"47","newsletter"
"47","sms"
"47","wholesale"
"48","priority"
"49","loyalty"
"49","seasonal"
"50","email"
"50","mobile"
"50","staff"
"51","newsletter"
"52","priority"
"52","vip"
"53","loyalty"
"53","referral"
"53","seasonal"
"54","mobile"
"55","newsletter"
"55","wholesale"
"56","partner"
"56","priority"
"56","vip"
"57","loyalty"
"58","mobile"
"58","staff"
"59","newsletter"
"59","sms"
"59","wholesale"
"60","priority"
"61","loyalty"
"61","seasonal"
"62","email"
"62","mobile"
"62","staff"
"63","newsletter"
"64","priority"
"64","vip"
"65","loyalty"
"65","referral"
"65","seasonal"
"66","mobile"
"67","newsletter"
"67","wholesale"
"68","partner"
"68","priority"
"68","vip"
"69","loyalty"
"70","mobile"
"70","staff"
"71","newsletter"
"71","sms"
"71","wholesale"
"72","priority"
"73","loyalty"
"73","seasonal"
"74","email"
"74","mobile"
"74","staff"
"75","newsletter"
"76","priority"
"76","vip"
"77","loyalty"
"77","referral"
"77","seasonal"
"78","mobile"
"79","newsletter"
"79","wholesale"
"80","partner"
"80","priority"
"80","vip"
"81","loyalty"
"82","mobile"
"82","staff"
"83","newsletter"
"83","sms"
"83","wholesale"
"84","priority"
"85","loyalty"
"85","seasonal"
"86","email"
"86","mobile"
"86","staff"
"87","newsletter"
"88","priority"
