"order_date","promo_group","revenue","orders"
"2026-08-22 00:00:00.000","ORGANIC","1776.20","10"
"2026-08-22 00:00:00.000","PROMOTIONAL","3371.01","19"
"2026-08-23 00:00:00.000","ORGANIC","1724.20","10"
"2026-08-23 00:00:00.000","PROMOTIONAL","3277.28","19"
"2026-08-24 00:00:00.000","ORGANIC","1507.32","9"
"2026-08-24 00:00:00.000","PROMOTIONAL","3348.30","20"
"2026-08-25 00:00:00.000","ORGANIC","1625.40","10"
"2026-08-25 00:00:00.000","PROMOTIONAL","3084.49","19"
"2026-08-26 00:00:00.000","ORGANIC","1573.40","10"
"2026-08-26 00:00:00.000","PROMOTIONAL","2990.76","19"
"2026-08-27 00:00:00.000","ORGANIC","1521.40","10"
"2026-08-27 00:00:00.000","PROMOTIONAL","3046.70","20"
"2026-08-28 00:00:00.000","ORGANIC","1324.80","9"
"2026-08-28 00:00:00.000","PROMOTIONAL","2942.70","20"
"2026-08-29 00:00:00.000","ORGANIC","1422.60","10"
"2026-08-29 00:00:00.000","PROMOTIONAL","2699.17","19"
"2026-08-30 00:00:00.000","ORGANIC","1370.60","10"
"2026-08-30 00:00:00.000","PROMOTIONAL","2605.44","19"
"2026-08-31 00:00:00.000","ORGANIC","1318.60","10"
"2026-08-31 00:00:00.000","PROMOTIONAL","2641.10","20"
"2026-09-01 00:00:00.000","ORGANIC","1142.28","9"
"2026-09-01 00:00:00.000","PROMOTIONAL","2537.10","20"
"2026-09-02 00:00:00.000","ORGANIC","1219.80","10"
"2026-09-02 00:00:00.000","PROMOTIONAL","2313.85","19"
"2026-09-03 00:00:00.000","ORGANIC","1167.80","10"
"2026-09-03 00:00:00.000","PROMOTIONAL","2220.12","19"
"2026-09-04 00:00:00.000","ORGANIC","1115.80","10"
"2026-09-04 00:00:00.000","PROMOTIONAL","2235.50","20"
"2026-09-05 00:00:00.000","ORGANIC","959.76","9"
"2026-09-05 00:00:00.000","PROMOTIONAL","2131.50","20"
"2026-09-06 00:00:00.000","ORGANIC","1017.00","10"
"2026-09-06 00:00:00.000","PROMOTIONAL","1829.43","18"
"2026-09-07 00:00:00.000","ORGANIC","965.00","10"
"2026-09-07 00:00:00.000","PROMOTIONAL","1933.90","20"
"2026-09-08 00:00:00.000","ORGANIC","824.04","9"
"2026-09-08 00:00:00.000","PROMOTIONAL","1829.90","20"
"2026-09-09 00:00:00.000","ORGANIC","866.20","10"
"2026-09-09 00:00:00.000","PROMOTIONAL","1642.01","19"
"2026-09-10 00:00:00.000","ORGANIC","814.20","10"
"2026-09-10 00:00:00.000","PROMOTIONAL","1548.28","19"
"2026-09-11 00:00:00.000","ORGANIC","762.20","10"
"2026-09-11 00:00:00.000","PROMOTIONAL","1528.30","20"
"2026-09-12 00:00:00.000","ORGANIC","641.52","9"
"2026-09-12 00:00:00.000","PROMOTIONAL","1424.30","20"
"2026-09-13 00:00:00.000","ORGANIC","6719.68","19"
"2026-09-13 00:00:00.000","PROMOTIONAL","12022.37","35"
"2026-09-14 00:00:00.000","ORGANIC","6625.56","19"
"2026-09-14 00:00:00.000","PROMOTIONAL","14526.46","39"
"2026-09-15 00:00:00.000","ORGANIC","7192.40","20"
"2026-09-15 00:00:00.000","PROMOTIONAL","13060.93","38"
"2026-09-16 00:00:00.000","ORGANIC","7040.00","19"
"2026-09-16 00:00:00.000","PROMOTIONAL","14184.60","40"
"2026-09-17 00:00:00.000","ORGANIC","6339.04","19"
"2026-09-17 00:00:00.000","PROMOTIONAL","13933.27","39"
"2026-09-18 00:00:00.000","ORGANIC","6890.80","20"
"2026-09-18 00:00:00.000","PROMOTIONAL","13090.05","38"
"2026-09-19 00:00:00.000","ORGANIC","6753.48","19"
"2026-09-19 00:00:00.000","PROMOTIONAL","12935.78","39"
"2026-09-20 00:00:00.000","ORGANIC","6688.00","20"
"2026-09-20 00:00:00.000","PROMOTIONAL","13345.15","39"
