== trino/sql/reports/21_channel_trend.sql
       order_date        | promo_group | revenue  | orders 
-------------------------+-------------+----------+--------
 2026-08-22 00:00:00.000 | ORGANIC     |  1781.40 |     10 
 2026-08-22 00:00:00.000 | PROMOTIONAL |  3566.70 |     20 
 2026-08-23 00:00:00.000 | ORGANIC     |  1558.80 |      9 
 2026-08-23 00:00:00.000 | PROMOTIONAL |  3462.70 |     20 
 2026-08-24 00:00:00.000 | ORGANIC     |  1682.60 |     10 
 2026-08-24 00:00:00.000 | PROMOTIONAL |  3193.17 |     19 
 2026-08-25 00:00:00.000 | ORGANIC     |  1630.60 |     10 
 2026-08-25 00:00:00.000 | PROMOTIONAL |  3099.44 |     19 
 2026-08-26 00:00:00.000 | ORGANIC     |  1423.08 |      9 
 2026-08-26 00:00:00.000 | PROMOTIONAL |  3161.10 |     20 
 2026-08-27 00:00:00.000 | ORGANIC     |  1531.80 |     10 
 2026-08-27 00:00:00.000 | PROMOTIONAL |  2906.65 |     19 
 2026-08-28 00:00:00.000 | ORGANIC     |  1479.80 |     10 
 2026-08-28 00:00:00.000 | PROMOTIONAL |  2812.92 |     19 
 2026-08-29 00:00:00.000 | ORGANIC     |  1427.80 |     10 
 2026-08-29 00:00:00.000 | PROMOTIONAL |  2859.50 |     20 
 2026-08-30 00:00:00.000 | ORGANIC     |  1240.56 |      9 
 2026-08-30 00:00:00.000 | PROMOTIONAL |  2755.50 |     20 
 2026-08-31 00:00:00.000 | ORGANIC     |  1329.00 |     10 
 2026-08-31 00:00:00.000 | PROMOTIONAL |  2521.33 |     19 
 2026-09-01 00:00:00.000 | ORGANIC     |  1277.00 |     10 
 2026-09-01 00:00:00.000 | PROMOTIONAL |  2427.60 |     19 
 2026-09-02 00:00:00.000 | ORGANIC     |  1225.00 |     10 
 2026-09-02 00:00:00.000 | PROMOTIONAL |  2453.90 |     20 
 2026-09-03 00:00:00.000 | ORGANIC     |  1058.04 |      9 
 2026-09-03 00:00:00.000 | PROMOTIONAL |  2349.90 |     20 
 2026-09-04 00:00:00.000 | ORGANIC     |  1126.20 |     10 
 2026-09-04 00:00:00.000 | PROMOTIONAL |  2136.01 |     19 
 2026-09-05 00:00:00.000 | ORGANIC     |  1074.20 |     10 
 2026-09-05 00:00:00.000 | PROMOTIONAL |  2042.28 |     19 
 2026-09-06 00:00:00.000 | ORGANIC     |   922.32 |      9 
 2026-09-06 00:00:00.000 | PROMOTIONAL |  2048.30 |     20 
 2026-09-07 00:00:00.000 | ORGANIC     |   975.40 |     10 
 2026-09-07 00:00:00.000 | PROMOTIONAL |  1849.49 |     19 
 2026-09-08 00:00:00.000 | ORGANIC     |   923.40 |     10 
 2026-09-08 00:00:00.000 | PROMOTIONAL |  1755.76 |     19 
 2026-09-09 00:00:00.000 | ORGANIC     |   871.40 |     10 
 2026-09-09 00:00:00.000 | PROMOTIONAL |  1746.70 |     20 
 2026-09-10 00:00:00.000 | ORGANIC     |   739.80 |      9 
 2026-09-10 00:00:00.000 | PROMOTIONAL |  1642.70 |     20 
 2026-09-11 00:00:00.000 | ORGANIC     |   772.60 |     10 
 2026-09-11 00:00:00.000 | PROMOTIONAL |  1464.17 |     19 
 2026-09-12 00:00:00.000 | ORGANIC     |   720.60 |     10 
 2026-09-12 00:00:00.000 | PROMOTIONAL |  1370.44 |     19 
 2026-09-13 00:00:00.000 | ORGANIC     |  5382.68 |     17 
 2026-09-13 00:00:00.000 | PROMOTIONAL | 10093.22 |     33 
 2026-09-14 00:00:00.000 | ORGANIC     |  7247.48 |     19 
 2026-09-14 00:00:00.000 | PROMOTIONAL | 13949.78 |     39 
 2026-09-15 00:00:00.000 | ORGANIC     |  6546.52 |     19 
 2026-09-15 00:00:00.000 | PROMOTIONAL | 14359.15 |     39 
 2026-09-16 00:00:00.000 | ORGANIC     |  7109.20 |     20 
 2026-09-16 00:00:00.000 | PROMOTIONAL | 13505.01 |     38 
 2026-09-17 00:00:00.000 | ORGANIC     |  7005.20 |     20 
 2026-09-17 00:00:00.000 | PROMOTIONAL | 13361.66 |     39 
 2026-09-18 00:00:00.000 | ORGANIC     |  6862.16 |     19 
 2026-09-18 00:00:00.000 | PROMOTIONAL | 13771.03 |     39 
 2026-09-19 00:00:00.000 | ORGANIC     |  6161.20 |     19 
 2026-09-19 00:00:00.000 | PROMOTIONAL | 13573.30 |     39 
 2026-09-20 00:00:00.000 | ORGANIC     |  6703.60 |     20 
 2026-09-20 00:00:00.000 | PROMOTIONAL | 12768.47 |     39 
(60 rows)
